Measuring points - characteristics


MANDT	 ZCOLNR	 ZVALUE	 ATNAM	 INDCT
X	 X	 X	 	
Client	 AM: Column number	 Position	 Characteristic Name	 Indicator to Show that Measuring Point Is a Counter
MANDT-CLNT(3)	 ZCHAR3-CHAR(3)	 ZCHAR3-CHAR(3)	 ATNAM-CHAR(30)	 X-CHAR(1)
100	 037	 034	 ZAM_VSD_60-80_PERC_RPM	
100	 037	 035	 ZAM_VSD_80-100_PERC_RPM	
100	 037	 040	 ZAM_WORKPRESS	
100	 037	 060	 ZAM_AMBTEMP	
100	 037	 062	 ZAM_CONVERTERTEMP	
100	 037	 100	 ZAM_OUTLTEMP_ELT1	
100	 037	 460	 ZAM_LAT	
100	 037	 660	 ZAM_SPMMOTDE	
100	 037	 670	 ZAM_SPMLMOTNDE	
100	 037	 680	 ZAM_SPMELTP1	
100	 037	 690	 ZAM_SPMELTP2	
100	 037	 720	 ZAM_SPMGEARBOX	
100	 037	 760	 ZAM_MOTOR_CURRENT_U1	
100	 037	 770	 ZAM_MOTOR_CURRENT_V1	
100	 037	 780	 ZAM_MOTOR_CURRENT_W1	
100	 037	 790	 ZAM_COOLWATER_IN	
100	 037	 800	 ZAM_COOLWATERICOUT	
100	 038	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 038	 015	 ZAM_RHRSTOTAL	 X
100	 038	 020	 ZAM_FUELLEVEL	
100	 038	 040	 ZAM_WORKPRESS	
100	 038	 060	 ZAM_AMBTEMP	
100	 038	 350	 ZAM_OILPRESS	
100	 038	 680	 ZAM_SPMELTP1	
100	 038	 690	 ZAM_SPMELTP2	
100	 038	 700	 ZAM_SPMELTP3	
100	 038	 920	 ZAM_OILPRESS_DIESELENGINE	
100	 038	 922	 ZAM_COOLTEMP_DIESELENGINE	
100	 038	 938	 ZAM_BATTERYVOLTAGE	
100	 038	 944	 ZAM_PROGRAMVERSION	
100	 038	 946	 ZAM_SERVICECOUNTER	
100	 038	 948	 ZAM_OILTEMP_DIESELENGINE	
100	 038	 950	 ZAM_FUELPRESS_DIESELENGINE	
100	 038	 952	 ZAM_ENGINEFUELTEMP	
100	 038	 954	 ZAM_ENGINELOAD	
100	 038	 956	 ZAM_AIRINLETTEMP	
100	 038	 958	 ZAM_ENGINERPM	
100	 039	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 039	 015	 ZAM_RHRSTOTAL	 X
100	 039	 020	 ZAM_RHRSLOADED	
100	 039	 040	 ZAM_WORKPRESS	
100	 039	 060	 ZAM_AMBTEMP	
100	 039	 062	 ZAM_CONVERTERTEMP	
